MT-CO1	COX1
MT-CO2	COX2
MT-ATP6	ATP6
MT-CO3	COX3
MT-CYB	BI3
MT-CYB	COB
MT-CYB	BI4
NEK2	KIN3
PAQR3	IZH2
PAQR3	IZH1
PECR	SPS19
SLC38A2	AVT2
POLR2I	RPB9
LONP1	PIM1
TUBB2B	TUB2
CIAPIN1	DRE2
CARM1	HMT1
TBCB	ALF1
ZFP36L2	CTH1
ZFP36L2	TIS11
CDC42BPB	CBK1
ZDHHC17	AKR1
ZDHHC17	AKR2
RRAGB	GTR1
CNOT6L	CCR4
GRINA	BXI1
GOLT1A	GOT1
MOGAT1	DGA1
PPOX	HEM14
SRGAP2C	RGA1
SRGAP2C	RGA2
FOXK1	FKH2
FOXK1	FKH1
FOXK1	FHL1
BUD31	BUD31
TUBB1	TUB2
EIF1	SUI1
PGM2	PRM15
SPCS3	SPC3
FCF1	FCF1
ATP6V1B1	VMA2
HIST1H2BK	HTB1
QPRT	BNA6
NACA2	EGD2
RDH5	LYS2
SDAD1	SDA1
SRGAP2B	RGA1
SRGAP2B	RGA2
TARSL2	THS1
ALG1L2	ALG1
RAP2B	RSR1
TBC1D10A	MSB3
TBC1D10A	MSB4
GRAMD1B	YSP2
UQCRC1	MAS1
ZNF598	HEL2
ATP8B3	DNF2
PGAP3	PER1
ATP8B4	DNF2
TMEM167A	KSH1
DHX34	PRP22
BTF3	EGD1
BTF3	BTT1
ZNRD1	RPA12
AQP5	AQY1
AQP5	AQY2
PAPOLG	PAP1
NSUN2	NCL1
UBA1	UBA1
MAF1	MAF1
RAB31	YPT53
RAB31	VPS21
DHRS4	SPS19
KIF25	KAR3
TNPO3	MTR10
GOLPH3	VPS74
CSE1L	CSE1
WSB2	CIA1
DHX38	PRP22
TAMM41	TAM41
AAMP	RSA4
POLR1C	RPC40
FDX1	YAH1
HIST1H2BE	HTB1
HERC4	HUL4
UBE2V2	MMS2
TBC1D3	MSB3
TBC1D3	MSB4
PPP2R5B	RTS1
VPS4A	VPS4
DDX41	PRP28
HIST1H4C	HHF1
HIST1H4C	HHF2
RASEF	SEC4
NEK7	KIN3
ARPC1A	ARC40
ABCB8	MDL2
ABCB8	MDL1
WDFY4	BPH1
RNF113A	CWC24
HIPK2	YAK1
SNRPB	SMB1
AL365273.1	YND1
SLC25A40	MTM1
CCT8	CCT8
AL513412.1	GIS1
AL513412.1	RPH1
FMO1	FMO1
AL135787.1	ZTA1
AL109923.1	RSP5
AL022067.1	ATG5
NDOR1	TAH18
ATM	TEL1
FKBP1A	FPR1
CLN3	YHC3
RAB11A	YPT31
RAB11A	YPT32
CDRT1	MET30
AC138645.1	ARF2
AC138645.2	ARF2
STRADB	STE20
CLINT1	ENT3
INPP5K	INP53
INPP5K	INP51
INPP5K	INP52
SMURF2	RSP5
AL161905.1	SPT3
RAD54B	RDH54
AC096949.1	GDB1
PKN2	PKC1
PSMA4	PRE9
SLC9A2	NHX1
ALDH1B1	ALD4
CHEK1	CHK1
IDH3A	IDH2
PPIL1	CPR2
PPIL1	CPR5
WTH3DI	YPT6
MYLK	MEK1
AC113404.1	RSR1
PPCDC	CAB3
PPCDC	SIS2
PPCDC	VHS3
NAF1	NAF1
ERN1	IRE1
STK35	CAK1
YIF1B	YIF1
ACTG2	ACT1
SEC24C	SFB2
SEC24C	SEC24
DGAT1	ARE2
DGAT1	ARE1
RPS10-NUDT3	RPS10A
RBMS1	PAB1
ING2	PHO23
TCP11X2	SOK1
USP45	UBP5
USP45	DOA4
OVGP1	CTS2
NAP1L2	NAP1
CHD7	CHD1
USP47	UBP15
MMS19	MET18
RER1	RER1
PIAS3	NFI1
PIAS3	SIZ1
ARHGAP36	LRG1
HEATR5B	LAA1
FAIM2	BXI1
HIST1H2AL	HTA2
ASB7	NAS6
PNPO	PDX3
WDFY2	VPS27
SLC25A15	ORT1
SETBP1	SET2
IST1	IST1
RPS10	RPS10A
GRWD1	RRB1
ANGEL1	CCR4
TPT1	TMA19
RASGEF1B	CDC25
ZDHHC6	PFA3
SHQ1	SHQ1
RPS26	RPS26A
AGAP1	AGE2
HIST1H2AK	HTA2
ACSBG1	FAA2
TBC1D9B	MDR1
CDYL2	ECI1
CDYL2	DCI1
THOC2	THO2
EXOSC8	RRP45
SLC35B4	YEA4
METTL2B	ABP140
H6PD	ZWF1
HMGB2	NHP6B
HMGB2	NHP6A
STX16	TLG2
PCBP4	PBP2
GYS2	GSY2
RP11-894J14.5	RFT1
HIST1H3J	HHT1
HIST1H3J	HHT2
HMGB3	NHP6B
HMGB3	NHP6A
ARHGAP28	LRG1
CNOT2	CDC36
BAZ2A	GCN5
URM1	URM1
FIG4	FIG4
HIST1H3I	HHT1
HIST1H3I	HHT2
FZR1	CDH1
HIST1H4L	HHF1
HIST1H4L	HHF2
COQ3	COQ3
DPAGT1	ALG7
ARL14	ARF1
MYH8	MYO1
OXSR1	STE20
SLC25A37	MRS3
SLC25A37	MRS4
ECH1	ECI1
ECH1	DCI1
AP1M1	APM1
ZCCHC7	AIR2
ZCCHC7	AIR1
MYO9B	MYO2
ATP6V0A2	STV1
ATP6V0A2	VPH1
HMGB4	NHP6B
HMGB4	NHP6A
CHKA	CKI1
CHKA	EKI1
TYW1B	TYW1
SLC35F5	THI74
TUSC3	OST3
TM9SF2	EMP70
TM9SF2	TMN2
RAD18	RAD18
TUBB8	TUB2
SAC3D1	SAC3
CALR	CNE1
PIK3R4	VPS15
HIST1H2BN	HTB1
RPL30	RPL30
RAB25	YPT31
RAB25	YPT32
TFR2	VPS70
SPAG6	SRP1
SLC7A7	MUP1
SLC7A7	MUP3
POC1A	PRP4
PSMB7	PUP1
CAPZA1	CAP1
ERCC8	RAD28
CTBP2	SER33
HIBCH	EHD3
PPP4R3B	PSY2
SOD1	SOD1
ARHGAP27	BEM2
CORO7-PAM16	CRN1
MCCC1	DUR1,2
PTPN12	PTP1
SLC38A4	AVT2
PPIAL4E	CPR3
PPIAL4E	CPR1
TIA1	PUB1
HDAC8	RPD3
ENTPD1	YND1
ECHDC2	ECI1
ECHDC2	DCI1
SLC12A7	VHC1
HMGCR	HMG1
DNAJC21	JJJ1
TBC1D9	MDR1
SMC5	SMC5
MAP3K14	BCK1
MAP3K14	STE11
AKR1A1	GRE3
CORO1B	CRN1
GNAT3	GPA2
FRY	TAO3
DPP9	STE13
DPP9	DAP2
SPG7	YTA12
YEATS2	YAF9
POLR1A	RPA190
IP6K2	KCS1
DHRS7C	LYS2
WDR33	PFS2
MYH9	MYO1
CLCN5	GEF1
NSDHL	ERG26
CRAT	CAT2
CCNT2	SSN8
YTHDF1	PHO92
TBC1D26	MSB3
TBC1D26	MSB4
EIF2AK3	GCN2
GNAI2	GPA2
PANK1	CAB1
GNAI3	GPA2
NME1-NME2	YNK1
IDE	STE23
SF3B2	CUS1
DHFR2	DFR1
CPSF2	YSH1
ZFYVE21	FAB1
SLC35B2	HUT1
MKNK1	RCK2
MKNK1	RCK1
CYP26B1	ERG11
RPS11	RPS11A
RPS11	RPS11B
OMA1	OMA1
MPV17L2	SYM1
UBE4A	UFD2
GSS	GSH2
CLCN2	GEF1
STX2	SSO1
STX2	SSO2
TRMT1	TRM1
CYC1	CYT1
GDA	GUD1
SPHK2	LCB4
SPHK2	LCB5
RPL36AL	RPL42A
RPL36AL	RPL42B
